Simulation Time(s),Actual Time(in 24hr),Section ID,Flow (veh/hr)
0.00,0:00,44334,73334784.00
0.00,0:00,44335,73334784.00
0.00,0:00,44338,73334784.00
0.00,0:00,44341,73334784.00
0.00,0:00,44344,73334784.00
0.00,0:00,44369,73334784.00
0.00,0:00,44380,73334784.00
0.00,0:00,44385,73334784.00
0.00,0:00,44386,73334784.00
0.00,0:00,44391,73334784.00
0.00,0:00,44394,73334784.00
0.00,0:00,44398,73334784.00
0.00,0:00,44399,73334784.00
0.00,0:00,44411,73334784.00
0.00,0:00,44414,73334784.00
0.00,0:00,44415,73334784.00
0.00,0:00,44418,73334784.00
0.00,0:00,44430,73334784.00
0.00,0:00,44433,73334784.00
0.00,0:00,44436,73334784.00
0.00,0:00,44439,73334784.00
0.00,0:00,44449,73334784.00
0.00,0:00,44452,73334784.00
0.00,0:00,44463,73334784.00
0.00,0:00,44464,73334784.00
0.00,0:00,44468,73334784.00
0.00,0:00,44471,73334784.00
0.00,0:00,44474,73334784.00
0.00,0:00,44478,73334784.00
0.00,0:00,44479,73334784.00
0.00,0:00,44495,73334784.00
0.00,0:00,44498,73334784.00
0.00,0:00,44501,73334784.00
0.00,0:00,44502,73334784.00
0.00,0:00,44503,73334784.00
0.00,0:00,44504,73334784.00
0.00,0:00,44518,73334784.00
0.00,0:00,44521,73334784.00
0.00,0:00,44524,73334784.00
0.00,0:00,44525,73334784.00
0.00,0:00,44533,73334784.00
0.00,0:00,44536,73334784.00
0.00,0:00,44539,73334784.00
0.00,0:00,44540,73334784.00
0.00,0:00,44548,73334784.00
0.00,0:00,44549,73334784.00
0.00,0:00,44550,73334784.00
0.00,0:00,44553,73334784.00
0.00,0:00,44564,73334784.00
0.00,0:00,44566,73334784.00
0.00,0:00,44572,73334784.00
0.00,0:00,44575,73334784.00
0.00,0:00,44585,73334784.00
0.00,0:00,44588,73334784.00
0.00,0:00,44591,73334784.00
0.00,0:00,44592,73334784.00
0.00,0:00,44601,73334784.00
0.00,0:00,44602,73334784.00
0.00,0:00,44603,73334784.00
0.00,0:00,44604,73334784.00
0.00,0:00,44613,73334784.00
0.00,0:00,44614,73334784.00
0.00,0:00,44615,73334784.00
0.00,0:00,44618,73334784.00
0.00,0:00,44628,73334784.00
0.00,0:00,44631,73334784.00
0.00,0:00,44634,73334784.00
0.00,0:00,44635,73334784.00
0.00,0:00,44636,73334784.00
0.00,0:00,44637,73334784.00
0.00,0:00,44653,73334784.00
0.00,0:00,44654,73334784.00
0.00,0:00,44655,73334784.00
0.00,0:00,44658,73334784.00
0.00,0:00,44661,73334784.00
0.00,0:00,44662,73334784.00
0.00,0:00,44670,73334784.00
0.00,0:00,44673,73334784.00
0.00,0:00,44676,73334784.00
0.00,0:00,44677,73334784.00
0.00,0:00,44686,73334784.00
0.00,0:00,44687,73334784.00
0.00,0:00,44695,73334784.00
0.00,0:00,44698,73334784.00
0.00,0:00,44712,73334784.00
0.00,0:00,44713,73334784.00
0.00,0:00,44714,73334784.00
0.00,0:00,44715,73334784.00
0.00,0:00,44731,73334784.00
0.00,0:00,44732,73334784.00
0.00,0:00,44733,73334784.00
0.00,0:00,44736,73334784.00
0.00,0:00,44747,73334784.00
0.00,0:00,44748,73334784.00
0.00,0:00,44749,73334784.00
0.00,0:00,44752,73334784.00
0.00,0:00,44763,73334784.00
0.00,0:00,44778,73334784.00
0.00,0:00,44781,73334784.00
0.00,0:00,44784,73334784.00
0.00,0:00,44785,73334784.00
0.00,0:00,44793,73334784.00
0.00,0:00,44794,73334784.00
0.00,0:00,44801,73334784.00
0.00,0:00,44804,73334784.00
0.00,0:00,44815,73334784.00
0.00,0:00,44818,73334784.00
0.00,0:00,44821,73334784.00
0.00,0:00,44822,73334784.00
0.00,0:00,44831,73334784.00
0.00,0:00,44833,73334784.00
0.00,0:00,44836,73334784.00
0.00,0:00,44849,73334784.00
0.00,0:00,44850,73334784.00
0.00,0:00,44870,73334784.00
0.00,0:00,44871,73334784.00
0.00,0:00,44874,73334784.00
0.00,0:00,44887,73334784.00
0.00,0:00,44888,73334784.00
0.00,0:00,44892,73334784.00
0.00,0:00,44893,73334784.00
0.00,0:00,44896,73334784.00
0.00,0:00,44907,73334784.00
0.00,0:00,44910,73334784.00
0.00,0:00,44913,73334784.00
0.00,0:00,44924,73334784.00
0.00,0:00,44925,73334784.00
0.00,0:00,44940,73334784.00
0.00,0:00,44951,73334784.00
0.00,0:00,44952,73334784.00
0.00,0:00,44961,73334784.00
0.00,0:00,44983,73334784.00
0.00,0:00,44984,73334784.00
0.00,0:00,44986,73334784.00
0.00,0:00,44987,73334784.00
0.00,0:00,45001,73334784.00
0.00,0:00,45004,73334784.00
0.00,0:00,45005,73334784.00
0.00,0:00,45014,73334784.00
0.00,0:00,45016,73334784.00
0.00,0:00,45017,73334784.00
0.00,0:00,45026,73334784.00
0.00,0:00,45038,73334784.00
0.00,0:00,45039,73334784.00
0.00,0:00,45042,73334784.00
0.00,0:00,45046,73334784.00
0.00,0:00,45047,73334784.00
0.00,0:00,45055,73334784.00
0.00,0:00,45058,73334784.00
0.00,0:00,45061,73334784.00
0.00,0:00,45062,73334784.00
0.00,0:00,45070,73334784.00
0.00,0:00,45073,73334784.00
0.00,0:00,45076,73334784.00
0.00,0:00,45077,73334784.00
0.00,0:00,45089,73334784.00
0.00,0:00,45090,73334784.00
0.00,0:00,45093,73334784.00
0.00,0:00,45094,73334784.00
0.00,0:00,45095,73334784.00
0.00,0:00,45098,73334784.00
0.00,0:00,45108,73334784.00
0.00,0:00,45111,73334784.00
0.00,0:00,45114,73334784.00
0.00,0:00,45115,73334784.00
0.00,0:00,45116,73334784.00
0.00,0:00,45117,73334784.00
0.00,0:00,45141,73334784.00
0.00,0:00,45142,73334784.00
0.00,0:00,45143,73334784.00
0.00,0:00,45152,73334784.00
0.00,0:00,45155,73334784.00
0.00,0:00,45164,73334784.00
0.00,0:00,45167,73334784.00
0.00,0:00,45178,73334784.00
0.00,0:00,45181,73334784.00
0.00,0:00,45182,73334784.00
0.00,0:00,45192,73334784.00
0.00,0:00,45195,73334784.00
0.00,0:00,45207,73334784.00
