index,id,x,y
50588,1,0.0,0.0
50547,2,5.906936488265547,0.12513734081345268
50468,3,10.479823287379853,-1.6246494834147862
44899,4,13.498722971811066,1.7435468904672966
44839,5,17.009788620668086,3.173177671004321
44764,6,21.0184575792195,-0.8994432448250819
45028,7,15.78173465918843,-2.1863559804326496
50459,8,6.75541977891441,-15.295218284262377
50386,9,12.907175843858171,-11.67029539930962
50344,10,16.61495662216788,-7.947581529381172
50256,11,18.153633849993938,-6.318918353240833
50188,12,19.702954945307987,-4.506313067625513
45145,13,19.99685336221564,-3.063064561893732
45291,14,22.925066641457413,-2.9489871927709554
44593,15,23.865340527072437,-1.3183527729752154
43805,16,25.272241007699417,-2.3293011832263004
45199,17,25.535002079821062,-2.7784180785222827
45270,18,23.756852259869103,-2.573563095262109
45418,19,23.756570703290784,-5.799520510398439
45252,20,25.469207553151467,-3.607289326264673
45572,21,26.429317420056037,-4.223072507441788
45686,22,28.321939098185283,-4.533580354430865
45761,23,29.64608292821691,-4.118681742482383
45833,24,30.828278455737276,-4.831385701546276
45972,25,35.31130491688868,-4.128963940657881
46081,26,38.62240596087638,-6.973383359839539
46206,27,37.92822208755005,-8.867208993726672
46368,28,38.666798167321204,-11.66751907186324
45557,29,26.88559736928487,-5.223467562564388
45512,30,25.39747017955279,-7.0427064367373555
51344,31,26.572335300241985,-18.175669550017126
49782,32,28.69364960370665,-21.005265354355245
51252,33,36.67134615767261,-12.057477168988328
49684,34,28.535711906868602,-22.175450121994913
46441,35,31.39794622988105,-17.76103089065904
46417,36,34.50942226534736,-16.19831673270763
47004,37,31.431559859443624,-19.45626807539402
47203,38,36.51173214993037,-20.319915401862158
47694,39,37.65975497631352,-20.124771140238824
46973,40,29.757318514014678,-19.814478153997943
46639,41,40.1711879232776,-12.596952133414096
48548,42,42.42535199960956,-13.279567053112807
48389,43,42.82472767436551,-15.875146168361676
48242,44,39.9086096673874,-18.120733282811706
47961,45,39.51826476351631,-21.399557072524757
47893,46,38.74380690963643,-22.19902594280307
47634,47,38.25450241310886,-25.40749416304859
47572,48,37.97046221127466,-27.56848622066978
49191,49,34.837865371671136,-35.43402422820434
49422,50,34.84018823600356,-39.305624034518004
49911,51,28.320504720162194,-25.90731081588283
50028,52,27.248912162172235,-28.011196540141253
50080,53,22.435476485557906,-27.4146456324737
49954,54,29.582154189705104,-28.904681652794366
48602,55,35.473590351807005,-21.856546002266427
48750,56,30.406588766786417,-29.327567676429208
48783,57,26.445185458040882,-34.46611995867049
49025,58,26.45232743706825,-35.5622096992328
49082,59,30.36979626042178,-35.45074795400415
48846,60,23.505351054430584,-36.51227313249359
49535,61,22.261798160147823,-37.24071788849032
