edge,cap,Length
1.2,1000,5.90826184511729
2.1,1000,5.90826184511729
2.3,1000,4.896227895814964
3.2,1000,4.896227895814964
3.7,1000,5.331583102916543
7.3,1000,5.331583102916543
7.6,1000,5.3925329234273285
6.7,1000,5.3925329234273285
6.5,1000,5.714513797630102
5.6,1000,5.714513797630102
4.5,1000,3.790966388566729
5.4,1000,3.790966388566729
3.4,1000,4.523107573084161
4.3,1000,4.523107573084161
8.9,1000,7.14031992311455
9.8,1000,7.14031992311455
9.10,1000,5.254163763850589
10.9,1000,5.254163763850589
10.11,1000,2.2405515733287675
11.10,1000,2.2405515733287675
7.11,1000,4.764869099617934
11.7,1000,4.764869099617934
11.12,1000,2.384519611541436
12.11,1000,2.384519611541436
12.13,1000,1.472868809079017
13.12,1000,1.472868809079017
13.6,1000,2.392683092236403
6.13,1000,2.392683092236403
13.14,1000,2.9304345505187177
14.13,1000,2.9304345505187177
6.15,1000,2.877538481332751
15.6,1000,2.877538481332751
15.16,1000,1.7324507642578546
16.15,1000,1.7324507642578546
16.17,1000,0.5203358210452348
17.16,1000,0.5203358210452348
17.20,1000,0.8314784814255283
20.17,1000,0.8314784814255283
17.21,1000,1.6990663161796664
21.17,1000,1.6990663161796664
21.29,1000,1.0995370200143404
29.21,1000,1.0995370200143404
29.30,1000,2.3503515937242287
30.29,1000,2.3503515937242287
20.18,1000,2.0001876339720974
18.20,1000,2.0001876339720974
18.14,1000,0.9125845538835562
14.18,1000,0.9125845538835562
14.19,3000,2.969333123741717
19.14,3000,2.969333123741717
19.21,1000,3.1030248658374386
21.19,1000,3.1030248658374386
29.22,1000,1.5934308651858398
22.29,1000,1.5934308651858398
22.23,1000,1.3876230542937815
23.22,1000,1.3876230542937815
23.24,1000,1.3804105181265849
24.23,1000,1.3804105181265849
24.25,1000,4.537722179855575
25.24,1000,4.537722179855575
25.26,1000,4.365101597410321
26.25,1000,4.365101597410321
26.27,1000,2.0170440703054435
27.26,1000,2.0170440703054435
27.28,1000,2.896071677172952
28.27,1000,2.896071677172952
28.41,1000,1.7683422614783435
41.28,1000,1.7683422614783435
41.42,1000,2.3552534495507693
42.41,1000,2.3552534495507693
42.43,1000,2.6261248776672583
43.42,1000,2.6261248776672583
44.43,1000,3.6805442150864045
43.44,1000,3.6805442150864045
44.45,1000,3.3019773754473833
45.44,1000,3.3019773754473833
45.46,1000,1.1130747692676795
46.45,1000,1.1130747692676795
46.47,1000,3.245564236099413
47.46,1000,3.245564236099413
48.47,1000,2.1795792046539346
47.48,1000,2.1795792046539346
48.49,1000,8.466395402263277
49.48,1000,8.466395402263277
49.50,1000,3.8716005031442338
50.49,1000,3.8716005031442338
59.49,1000,4.468100409111822
49.59,1000,4.468100409111822
58.59,1000,3.919054184697669
59.58,1000,3.919054184697669
58.60,1000,3.0963349830151534
60.58,1000,3.0963349830151534
60.61,1000,1.441199348951481
61.60,1000,1.441199348951481
60.57,1000,3.581810873203255
57.60,1000,3.581810873203255
57.56,1000,6.488253673513941
56.57,1000,6.488253673513941
56.54,1000,0.926566220446726
54.56,1000,0.926566220446726
54.52,1000,2.498466330687376
52.54,1000,2.498466330687376
52.51,1000,2.361068773051274
51.52,1000,2.361068773051274
51.54,1000,3.2520749250233556
54.51,1000,3.2520749250233556
53.52,1000,4.850261436081835
52.53,1000,4.850261436081835
51.34,1000,3.7380607768996605
34.51,1000,3.7380607768996605
34.37,1000,3.972390510384088
37.34,1000,3.972390510384088
37.40,1000,1.7121327469437513
40.37,1000,1.7121327469437513
40.32,1000,1.5966733251641207
32.40,1000,1.5966733251641207
34.32,1000,1.1807949468465773
32.34,1000,1.1807949468465773
32.31,1000,3.5364652960281773
31.32,1000,3.5364652960281773
31.30,1000,11.194783416103236
30.31,1000,11.194783416103236
40.35,1000,2.628365455065741
35.40,1000,2.628365455065741
35.36,1000,3.481861378450171
36.35,1000,3.481861378450171
36.33,1000,4.671238294999499
33.36,1000,4.671238294999499
33.28,1000,2.033198475388971
28.33,1000,2.033198475388971
37.38,1000,5.153060954961127
38.37,1000,5.153060954961127
38.39,1000,1.164490314575988
39.38,1000,1.164490314575988
38.55,1000,1.8544465468461453
55.38,1000,1.8544465468461453
56.55,1000,9.027218282417413
55.56,1000,9.027218282417413
39.44,1000,3.0122276068660665
44.39,1000,3.0122276068660665
39.46,1000,2.3404490124978095
46.39,1000,2.3404490124978095
